Nama Akun,Ulasan
Hanurianto,"aduhhhh...kenapa sebagus ini... udah ringan mengcover semua bibir lagi... pokok nya aq jatuh cinta deh sama produk ini...kurirnya juga baik mau antar paket Wa dulu... pengemasan oke bgt walaupun cm order 1 , tapi ad bublewrapnya ..keren keren..next mo order warna lain..👍"
T***y,"Kualitas the best,wangi dan lembut di bibir😍👍"
Nur,cocok... suka warnanya
dewi,warna dan request dikirim sesuai TOP MARKOTOP POKOKNYA..
L***a,"packing super aman, pengiriman cepat"
Didit,Barangnya entah kemana
J***r,"Warna bagus, tdk kering dibibir."
Linda,warnanya bagus bgt suka bgt makainya
V***y,lumayan tahan seharian
M***a,M***a
T***i,"lipstik nya ringan di bibir, ckp bertahan lama"
Vera,Secantik ini dpt promo lg mks mks mks
Marser,🌟🌟🌟🌟🌟
NiNaaa,"Packaging rapi, aman. Pengiriman cepat, kurir ramah. Pertama kali coba, warna ny bagus sesuai utk ku semoga cocok."
N***a,"Bahan ringan, warna sesuai, mantap"
R***a,warna bagus ringan 👍
IbuWiwin,"Suka, lembab di bibir, pigmented, warna nya juga bagus, merah nya bagus gak ngejreng"
E***a,E***a
Yuli,packing ny super rapi..barang ori dan murah..mksh buat tokony
N***g,warnanya mantap sesuai gambar. puas deh
Eka,bahanny ringan gak crack pokokny gk bikin bibir kering...cuma ak salah beli warna aja tp krn uda ada bbrp warna dr make over jd tinggal diblend/ombre dg warna lain
Rajip,trimakasih 🙏
Beta,ternyata warna kurang pink buat sy
Susan,barangnya sesuai dan sampainya cepat sekali
Veronica,Ok bgt...baik produk maupun kemasan
Endang,kerenn..packing nya mantul 🤩 warna lipstiknya baguss 👍🤩
Tanti,packing super aman...makasih make over for all dan Toko pedia.kurir makasih
s***a,gercep.. ga bkin kering.. sukakk.. pgn beli warna lainny..
Amelia,"mencoba pakai merk lain, akhirnya balik lagi ke make over. Cocok utk saya. Tdk membuat bibir kering."
Uchtina,produk ok dan berkualitas sesuai yg saya suka dg tipe tekstur dan desain kemasan magnetik spt ini. akhirnya nemu alternatif merk yg similar dg yg saya pakai selama ini dg harga lbh ekonomis tp kualitas sama. respon ok
A***i,thk you
Sarah,lipstik nya bagus... ada harga ada kualitas ya.. ini sesuai sm digambar. cantik juga dibibir aku. dan ringan banget.. suka deh.. next order lagi deh
