Nama Akun,Ulasan
QIA,"bagus lipstick nya gak kering dibibir gak berminyak cocok utk bibir yg tebal dan besar, texture nya moist and soft.. minus nya kurang tahan lama ajah.. tp selebihnya ini lipstik sih ok jg.. recommended deh.."
Gayatri,"Ringan dan nyaman di pakai. Warnanya sesuai dgn foto, amat mendekati. Ngga kecewa, asli puas."
C***a,suka banget ❤❤
Nur,kardusnya cantik. warnanya nude bgt suka.
Christina,bagus tidak nampak membuat bibir pecah2..pengiriman cepat
A***a,Sebahagia ini yaaa ternyata dapet freebies. Thank you make over. Sponge nya pasti ga kaleng kaleng
Mitta,dapet pas lagi harga promo plus bonus spons pula. terlope lope banget emang make over tuh..
Mahendra,Mahendra
Rona,repson cepat...pengiriman cepat...packing rapi dan aman...barang sesuai pesanan..
M***a,"dari dulu pakai skye ini buat base ombre dan bagusss banget, ini di mix pakai makeover waterlite lip stain yang kiss bang ✨ thank you! 💋"
yosi,"pesan kode 103,yg dtg 105"
Anggra,Pokoknya bagus
N***a,Udah kesekian kali beli inii!! Cepet bangett nyampenyaa🥹🥹
N***i,lipstik bagus crayon matte bahannya ringan lembut di bibir
E***i,"packing okay, bonus mantap"
M***a,repurchase sdh 2 x oke bgt wrnanya cocok bgt
parti,sukaa Poko nya
Mama,"packing aman, warna nya cakep benner dah. lope-lope"
N***e,Balik lagi ke line ini. Warnanya the best.
F***a,"teksturnya pekat. tapi gampang buat di blend.. lumayan tahan lama warnanya stay, kalau mau powerstay, tetap harus di reaply .. bakal repurchase sih kalau udh habis 😍"
Fauzan,pacar saya suka
G***n,"warna favorite, pelayanan cepat, penjual ramah dan oacking rapat"
y***a,"teksturnya bagus bgtt, udah pembelian ke sekian kalinyaa, soalnya bagus bgtt buat ombree lips"
W***a,"baguss, pengiriman standard, packaging baik"
Lenny,"matte dan nude di mulut,cakep"
Windra,favorite istrikuu nih... 👍
Novia,seller fast respon
Sisilia,"Warnanya cantik, dan kadaluwarsanya masih lama (21 Oktober 2025). Seller juga sabar dan ramah. Packing super aman dan rapi."
n***a,Produk sesuai dengan deskripsi. Sangat puas dengan produknya
T***a,Harga termurah
Atika,warna nya bagus bangetttt
E***a,Gapernah ganti2 dari dulu nyaman bgt pake ini asli 🥹
Susy,kualitas produknya bagus
dewi,dewi
tri,"pengiriman dari makeover cepat tapi dari kurirnya lama,,"
C***y,"pas dtg packagingnya mantep dikotakin terus di wrap tebel. lip crayon nya mantep nggak gampang crumble lip trus suka sama warna nya juga hehe, cuman kayaknya gw salah pilih shade yah harusnya yg lbh terang kalo mau ngelayer sama liptint 😢 tapi yasudalaa tetep cakep ini tengkyu seller"
Putri,"Warna nya cantik,suka"
I***i,kualitas bagus.. pemakaian mudah da sederhana.. ngga ribet.. warna netral.. cocok buat bibir saya yg mungil😎
Ratih,BARANG BAGUS
dhiya,"Seperti biasa gak pernah mengecewakan sih warnanya. Sayang banget ini sering patah, semoga makeover bisa mengatasi hal tersebut deh"
i***i,"pengiriman dari tokonya cepet banget, sat set lah ... tapi expedisinya yg kayak keong. untung barangnya sampai dgn selamat tdk ada kurang satupun. nah untuk warnanya cakep sebenarnya, tp anehnya di bibirku kok nggak mau keluar gradasi ombre nya. sayang syekaliii... tp so far sukak dg teksturnya, ringan dan melembabkan."
Djuni,Barang sesuai dengan foto disply bahan kain enak.dipakai dan pelayanan memuaskan
H***i,good
S***i,pertama kali coba lipstik crayon semoga cocok
ega,6099419250
Sarah,"produknya bagus, tapi buat bibir aku yg lumayan hitam dia gak terlalu cover banget lines nya, mungkin krn crayon jg kali yaa. masih lebih ngecover pake liquid lipstick. kl untuk tekstur ok banget, pengiriman juga cepet dan aman."
nuryimas,bagus
raisa,"ringan, coverage bagus, tapi ga intense warnanya, dan lama kelamaan cracky"
U***i,iloveHarper
I***a,🫶🏻🫶🏻
C***r,"cantiq ,cicok untuk alas pinggiran bibir sblm ulas lipstik moga2 awet"
S***a,Terima kasih 👍
S***a,Terima kasih👍
S***a,Terima kasih
tri,tri
Luvia,bgs
N***r,kualitas nya oke bgt 🥰
BERNADETA,"baguss, kemasan super aman dan proses kilat.. recommended"
A***a,warnanya bagus dan ringan di bibir😍
Hans,mantapss baru pertama beli dikasih bonusan sunscreen sma isi ulang bedakk. semoga pas repeat order dpet bonusan lg kwkw
Imam,"pengiriman cepet bgt, memuakan deh belanja disini"
E***a,Produk bagus. Packing super bagus. Penjual yg profesional. Top.
Tita,bagus banget ringan ga pecah pecah bagus buat base ombre
suciningtyas,bagus suka peking sngt rapi kurir ramah cepet pula yesss pokoknya sesuai dgn orderan
yuni,"udh sesuai, sip tq"
Fitriyah,pengirimannya cepet banget dan suka banget sama warna & teksturnya makasih ya next order lagi
Mega,bahannya ringan gampang diserap
A***a,"Gampang ilang, ya karna teksturnya crayon jadi ga bisa harapin ini transferproof. Warnanya bagus buat ombre, tapi kalo di bibir kering tetep bakalan crack dan jelek hasilnya"
Erna,tjakeph.. thanks bonus two way cakenya..
I***e,"Gak pernah ganti warna pake ini terus, thank you seller"
N***a,"suka banget, repurchase.."
V***y,sdh 2x memakai stick matte crayon sblmnya no.101 skrg 102 mudah dipoles dan awet.
N***l,Lumayan👌
A***n,"Baguss, aman bgttt dan pengirimannya cepad"
sucitra,warna pucet di saya
F***a,pengiriman super cepat. terimakasih
D***h,"nude nya cantikkk bgt , bagus bgt di pakai base ombre lips"
Arlitadian,"All good, warnanya bagusss"
P***o,Rasanya ringan kyk ga pake lipstik dan warnanya cocok but daily use tp cepet ilang warnany terutama abs makan
A***a,sesuai pesanan
A***n,"yg di suka dari lipstik ini matte tapi ga bikin bibir kering, dpt souvenir pula. sayang pengemasannya buruk, kotaknya sdh terbuka waktu diterima meski barangnya lengkap"
A***I,"Based ombre favorit walopun transfered tp warnanya matte , cocok bgt buat ombre apalagi warna bibir yg cenderung gelap , gampang patah , pengiriman cepat , packingan aman menggunakan bubble wrap , harga lebih murah dibanding di offline store"
Maylinda,selalu okeee....sudah bbrp kali beli disini . thanx yah
I***h,"bahannya bagus, ringan, mudah diaplikasiin juga. Mana dapet bonus pouch juga, happy bnget. thx make over"
Chindy,Dapat gratis lip cream. Baik banget sih ini. Kalau ada bintang 10 aku kasih deh ini.
Susi,so far bagus tapi cepet patah lipstiknya baru 2 hari
Dewa,sesuai deskripsi produk packing aman dan rapi
Utami,Sesuai cuma gapernah dapet gift huhu
asep,ringaan dipake nya mantap
Syifa,mau beratus² lip matte yang paling ringan dan sangat bisa menutup bibir gelapku cuma ini wkwk :) fav dr tahun 2018. dan karena aku jarang dandan dr 2018 sampe skrg 2022 baru repurchase 2 kali wkwk. pokonya cintaaa. and warnanta uu sangat perfecto buat dipake sendiri atau ombre ok oke ajaaa. luucvv
Putri,Bagus
S***y,Packing rapi & aman bgt.. Warnanya sesuai sm yg dibayangkan.. Dapet hadiah pula.. Recommended.. 👍🏻
R***a,Bahan nya ringan
M***y,"sudah diterima dengan kondisi baik, proses dan pengiriman cepat, packing rapi, terima kasih."
ici,"So thank u make over, Lipmatte dan Lip crayonnya Juarakkk ❤️ Dapet hadiah Pouchnya yang glamore pulaaa 🥰🥰🥰"
s***l,Seller ramah saya suka
I***h,suka banget packingnya aman
C***a,suka bagus
nabila,"udah dua kali beli makeover, pake kurir yg berbeda pasti paketnya jalan jalan dulu ke tegal😡😡😡 padahal dari jaksel kan bisa langsung ke bandung lebih deket malah jalan jalan jauh dulu ke tegal😡😡😡"
D***h,"Packaging aman. Produk bagus. Lip crayon pertama, dan suka utk pengaplikasiannya, buka tutup langsung sat set, ga mesti pegang kanan kiri (tangan), khawatir kebabyakan, dsb. Warnanya bagus, tp di warna kulitku tll pucat jd mesti ditimpa lip tint lg, jg pk lip balm biar ga tll terlihat kering. Overall ok 👍"
Ika,"berhubung bibirku hitam, jd warnanya pucet di aku, tekstur oke, semoga cocok yaa"
l***a,Bagus to terlalu pucat dia aku
A***a,cantik warnanya
L***y,L***y
Rinna,sangat matte buat dibibir aku yg terlalu licin wakaka akhirnya bisa menemukan yg pas😍
Nurul,soft bgtt
Diah,sip pengiriman cepat packing juga bagus dan aman…mo beli lagi nii
Reny,lipstick nya ok banget warnanya bagus .. senang udah beli produk ini. pengiriman juga cepat ..
S***i,"Produknya sesuai pesanan dan bagus, packingnya rapi dan kurirnya baik ...👍😁"
S***a,"kecewa dengan pembelian pertama ku ini. pengiriman lama sekali bayar sabtu, datang barang selasa. barang baru sehari sudah patah. ketahanan tidak tahan lama"
aji,ntabbbbbb
N***a,barang sesuai pesanan terimakasih
P***a,"beli cuma lipen sebiji, packaging nya box + msh dikasih bubble wrap. juwara! cuma gasuka aja kurirnya lamaaaaa kalo kirim."
Thifna,cool
galih,sesuai dan cocokkk
H***a,"packingnya oke banget, lipstiknya juga oke. makasih banyak ya....👍👍👍👍👍"
N***l,"Warnanya bagus. Sesuai utk kulit sawo matang spt aku. teksturnya lembut, ga bikin bibir kering tapi kurang pigmented. jadi haris diusapkan bbrp kali agar warnanya keluar. dan gampang hilang (tdk waterproof)"
ellen,cakepp buat ombre
Sri,suka sama yg ini pas dibibir lembab jugaa pokoknya...topp
ratnayunita,bagus pol cuma gampang patah wowkwowk
Citra,mantab
N***a,"nutup pinggiran bibir yg agak gelap, pigemnted, warna nya cocok buat base ombre🫶🏻"
agnannisa,"packing aman, pengiriman cepet,no cacat,bagus i like it,thank you"
Roikhanatus,Roikhanatus
Alfi,"warnanya sedikit lebih coklat daripada varian cliquematte warna eclair, tapi masih lebih lembap cliquematte daripada crayon stick ini."
D***h,"Bagus bangettt, warnanya bagus buat base ombre"
Efita,kualitas bagus
dita,"Guede bgt kotaknya, formula dan warna di bibir yg hitam ini bagusss, like my lips but looks better"
Dody,ok
Dody,warna nya wow sekarang
Nabila,Good
qomariah,"bagus,warnanya ,di bibir ga terasa berat"
Seviana,"Buat aku yg pinggiran bibirnya gelap, lip crayon ini cocok banget di aku. Aku coba untuk base ombre bareng hydrastay smooth lip shade devote cocok banget, cantik pokoknya🥰🥰🥰"
I***n,Suka banget
Wina,Wina
Anis,Perfect sekaliii dikasi bonus beauty blender juga pokoknya terbaikkk
A***a,terima kasih atas kecepatan respon dan ketersediaan barangnya ya kaka yang baik.. selalu puas belanja di toko kaka.. semangat ka..
