Nama Akun,Ulasan
parmin,Awet seharian 💄. Gampang dibawa-bawa. Cocok buat bibir gelap.
Siti,Coverage-nya high. Awet seharian 💄. Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa.
I***s,Good Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
Anita,Coverage-nya high. Aplikator mudah dipakai. Awet seharian 💄. Cocok buat bibir gelap. Gampang dibawa-bawa.
D***I,"pengemasan rapi, barang sampai dengan baik. bagus di bibir aku yang agak gelap. suka bangett, easy to use. manteppp"
P***a,sebagus itu 😭 pengiriman nya cepet banget!Aplikator mudah dipakai. Cocok buat bibir gelap. Gampang dibawa-bawa. Awet seharian 💄.
Devi,"Aplikator mudah dipakai. Gampang dibawa-bawa. puas bg, cantik bgt lip Stylo nya,suka. thankyouu😍"
D***a,"Coverage-nya high. Aplikator mudah dipakai. Gampang dibawa-bawa. Bila diaplikasi ke bibir pucat hasilnya kelihatan warna coklat, jd cukup tipis2 aja, mungkin bila di bibir gelap hasilnya lebih bagus warnanya."
SatSaturn,Cocok buat bibir gelap. Gampang dibawa-bawa. Dapet bonus juga multifox blush
Budi,sudah yg ke 2 kali beli sangat memuaskan
R***s,Awet seharian 💄.
D***n,Gampang dibawa-bawa. Coverage-nya high. Aplikator mudah dipakai.
P***a,Gampang dibawa-bawa. Aplikator mudah dipakai. Coverage-nya high.
Yunita,warnanya pas di bibir
W***a,mate tp tdk kering dibibir dan tahan lamaCoverage-nya high. Gampang dibawa-bawa. Aplikator mudah dipakai.
Asih,Puass
Dinar,Gampang dibawa-bawa. Cocok buat bibir gelap. Aplikator mudah dipakai.
I***s,"thanks ya kak bonusnyaa, warna Jetsetter nya cantikAplikator mudah dipakai. Gampang dibawa-bawa. Coverage-nya high."
F***i,"Produk baik, pelayanan memuaskan. Terimakasih juga untuk bonus nya!"
Ika,Aplikator mudah dipakai. Gampang dibawa-bawa. Coverage-nya high. Awet seharian 💄.
Malida,Cocok buat bibir gelap. Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
Atik,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Gampang dibawa-bawa. Aplikator mudah dipakai.
Deasy,Aplikator mudah dipakai. Gampang dibawa-bawa. Awet seharian 💄.
Feberwati,"barang original, mantap👍"
Y***i,terimakasi paket sdh sampai dng cepat
N***a,Coverage-nya high. Cocok buat bibir gelap. Awet seharian 💄. Gampang dibawa-bawa. Aplikator mudah dipakai.
dina,"beli cliquematte ini buat seserahan, trus kaget ternyata dibonusin 1 lagi walaupun warnanya aga gelap, tapi tetep terimakasih make over pengemasan cepat, barang datang dengan aman"
Novianti,barang sesuai pesanan.. terima kasih
Fajar,Fajar
Dody,Dody
V***y,V***y
K***i,Awet seharian 💄. Aplikator mudah dipakai. Gampang dibawa-bawa.
SAHALRA,Cocok buat bibir gelap. Aplikator mudah dipakai. Gampang dibawa-bawa.
adelia,Coverage-nya high. Awet seharian 💄. Cocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai.
Rahma,mantul
riza,Barang ok ..
Dian,Aplikator mudah dipakai.
N***a,Coverage-nya high Aplikator mudah dipakai Cocok buat bibir gelap
Z***a,Gampang dibawa-bawa. Cocok buat bibir gelap.
Ikhwati,Coverage-nya high. Aplikator mudah dipakai. Awet seharian 💄. Gampang dibawa-bawa.
Ika,Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Awet seharian 💄. Aplikator mudah dipakai.
Fitriani,dtgnya cepet
N***a,Gampang dibawa-bawa.
Beby,Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Aplikator mudah dipakai. Awet seharian 💄.
Santika,mantull diskonnya gak kira2mana exp masihh 9 bulanan Gampang dibawa-bawa lipstiknya.
gustian,Cocok buat bibir gelap.
O***n,Coverage-nya high. Gampang dibawa-bawa.
B***B,Aplikator mudah dipakai. Gampang dibawa-bawa.
Missra,Uno jugs Skylab mints flamingo kok Yg dtg lady boss😩😩😩😪🤦🏼‍♀️nel bisa aku pakek klw kayak gini padahal chart nya Jan dah bilancio flamingo Katanga ready senza😫😫🤦🏼‍♀️
Y***r,puas sih... tapi ternyata aku salah beli.. 😂😂😂
Clarissa,"bagus bgt warnanya dan expirednya masih lama bulan Juli tahun depan, senenggg!?!"
Luckyta,GAK USAH DIRAGUKAN! BAGUS BGTTT
