Nama Akun,Ulasan
D***y,memanglah dari dulu make over kalau soal packaging gak pernah setengah² padahal cm beli lipstick tapi paketnya dibungkus bubble warp tebel sama kardus warna inceran semoga cocok 😍 mantaps seller 👍🏻
A***i,Cakep
S***n,kualitas produk oke. pengemasan super aman. pengiriman agak lama ya.
B***a,"tahan lama, cakep warnanya👍"
M***a,warna sesuai gambar dan tahan lama di bibir meskipun uda makan & minum tetap tahan
a***y,warnanya baguuussss
O***a,Sudah pasti Original krn Official store Alhamdulillah perdana coba dan sukaa sekaliiii Thankyou MakeOver ☺️👍 Hanya Pengiriman nya Laaamaaa sekaliii untuk sekelas Official store Mohon diperhatikan
Romanty,"bahan nya ringan, suka bgt sama warna nya baguss secocok itu sama bibir aku tekstur nya tuh halus gk kasar gtu loh pokok nya love bgt deh sama make over.."
Y***i,mantep sih inii
Tri,bagus emang tahan lama ehh sgituh udh bnyak makan tapi masih ada sdikit menepel jadi lumayan lah....tapi warna nya sdikit pucat
Ita,perfect. sesuai expectasi. nyesel kenapa dulu di tawarin awal sama mbak SPG Make Over ga mau yaa. packaging safety sekali. thank Seller😍
M***d,bagus kata pacar saya -mfh
lutfatul,cakepppp banget warna nya
Nurul,"pesanan sesuai, pengiriman cepat terimakasih make over warna nya cantik banget"
F***i,hdhdndchjd
Dian,Baguss poll
manty,"ternyata shade yang ini kurang cocok di kulit sawo matang dan agak kuning langsat seperti warna kulit saya malah bikin muka item nggak cerah, dan biar nggak transfer lagi itu harus nunggu ¹/² /1 jam gitu, selebihnya bagus"
Kiya,"B aja sih ternyata masih lbh oke wardah glasting, dia agak lengket say"
N***n,"lipstiknya bagus, tp semoga kurir rekomendasinya beneran mencerminkan namanya ya🙏 lalu saran buat tokonya, kalo akan lama sampenya, dibikin PO aja, kalo perkiraan sampe diubah2 kan jadi sebel. luv make over semoga sukses trs"
k***a,"awalnya penasaran beli ini krn shadenya mirip punchy, tp trnyata beda ya. si pompous lebih ada hint orange nya. kalau untuk formula, wrdh paling pigmented dan glossy hanya sekali swipe. kalau MO menurut aku harus 2x baru kelihatan bagus hasilnya, kalau cuma sekali ga kelihatan glossy. untuk ketahanan, MO paling juara sih. aku udh makan 2X masih stay lip productnya, ga ngegumpal jg (tp ini aku makan setelah 2-3 jam pemakaian ya, jd kurang tau kalau habis pakai terus lgsung makan gmn)"
Ina,warna sesuai
B***g,"ya okelah,tapi masih lengket padahal sudah sesuai instruksi dibalik dan di shake 10detik,ditunggu sampai setengah jam juga masih lengket dan masih transfer,rasanya juga berat dibibir"
ruth,ruth
Nanik,Nanik
S***a,S***a
Eva,good
diana,Pengiriman cepat. Dibungkus aman. Sesuai pesanan. Makasih ya. Bagus banget produknya 💖💖
fatati,"bagus banget, pigmented bangetttttt, stainnya oke,"
S***i,cocok
Wie,cakep bgt ombre IYKYK dan Vintage 🫰
Tri,Cakep
M***a,bagus banget. awet dan tahan banting
HOOPOE,mantep
Kabitaputri,"Bagusss bngt sukaa, next order shade yg lain nih hahaha"
E***i,"Produk, packaging, delivery semua ok! Sangat puas belanja disini. Terima kasih 🫶🏼"
Arif,kurirnya lamaaaaa ***** barang yang diterima sudah sesuai dan packing sangat aman
w***l,pengirimannya ya Allah hampir 10 jari pakai lion mana paketnya basah 🥴
s***i,"bagus tahan lama, tapi 003 never terlalu pink tua di bbir aku jadi kurang soft"
M***a,"warna bagus, tapi pengiriman lama"
N***a,Warnanya baguus bgt
Farihani,Farihani
O***i,Ringan dibibir dan pigmented banget
Cicilia,Jujurly blom dicoba Bli krn mau coba n kemakan review Wakakaka
Cicilia,Jujurly blom dicoba Bli krn mau coba n kemakan review Wakakaka
Dewi,Superb! thankyou bonusannya make over 🤍
Azhar,baguss
Juniari,"pastinya cakep, ini pembelian kedua"
Yanni,"warna ya gelap gak cocok dimuka aku biasa pake terang ,😁"
Ella,sesuai warna yang aku mau kl ketahanan blm coba ya bsk aja aq coba..
Dwi,cantikkk pink2 mauve
P***i,"Alhamdulilah.. terima kasih make over official.. harga lebih murah , gppa meski agak lama ekspedisinya.. Mantap"
a***i,cakep👍🏻
P***i,P***i
ratnalesta,"Untuk aku di kulit sawo mateng warna ini jd gelap banget, tp tahan lama dan waterproff"
G***a,"Warna nya nude sesuai ekspektasi, bisa buat daily, ringan, cm pengiriman agak lama"
G***a,"warna nya bagus, menyala abangkuuuh"
E***a,"sesuka ini sm produk power glazed sampe repeat berkali2..warnanya ok bgt,bnr2 tahan lama doongg..no transfer proof jg klo udh kering.."
s***i,Fav bgt untuk brand ini😍
M,"lipstik sangat bagus, terasa ringan di bibir namun tahan lama. hanya saja pengiriman terlalu lama."
R***a,"glossy tapi ga transfer 😭 gila bngt ketahanannyaa, mau dipake makan minum juga ga ilang, tahan seharian"
R***a,mantep bangettttttt
iyas,Worth it! kerennnn banget
Ary,Ary
Mita,.
Iis,pokoknya sangat layak untuk d beli.. awet dan ga cracky euy mantuil..
T***i,"Awalnya udh semangat bgt sm klaim nya, tp pas dicoba swatch pertama aja udh janggal, karna rasanya super lengket bgt, warnanya juga ga bagus yg ini, beda sm yg katalog, yg paling nyebelin, dia cepet ilang dan kl ilang ngegumpel, susah dibersihinnya. Dibuat minum aja nempel2 ke gelas 😅 sgtu air putih Soalnya lumayan pricey buat ak, jd very bad buat harga sgini kalah sm lokal yg satunya yg lebih murah, sorry 🙏🏽"
S***i,bagus.. good.. warnanya aku suka cantik bgt..luv deh
Lim,Produk bagus
Ayu,masih transfer sih walaupun udh didiemin 5 menit. dan yg varian pompous ga cocok untuk kulit saya
